"ID_RS","year","typ","AFSmg.l","BSB5mg.l","Camg.l","Chl.amg.l","Clmg.l","LFmS.m","Nges.Nmg.l","NH3..calc.mg.l","NH4.Nmg.l","NO2.Nmg.l","NO3.Nmg.l","O2.","O2mg.l","oPO4.Pmg.l","Pges.Pmg.l","pH.....","PO4.Pmg.l","TOCmg.l","Twa.C"
107006146,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006146,2008,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006146,2009,"5",NA,NA,NA,NA,1.57916666666667,NA,NA,1.66639316666667e-05,0.025,NA,NA,NA,10.85,NA,NA,6.46666666666667,NA,NA,8.38333333333333
107006146,2010,"5",NA,NA,4.06363636363636,NA,NA,5.90909090909091,NA,2.92698663636364e-05,0.025,0.395454545454545,0.00622727272727273,NA,8.74545454545455,NA,NA,6.51818181818182,NA,NA,8.50909090909091
107006146,2011,"5",NA,NA,3.075,NA,1.25,2.70833333333333,NA,9.89219333333333e-06,0.0125,0.35,0.00133333333333333,NA,9.81666666666667,NA,NA,6.59166666666667,NA,NA,7.98333333333333
107006146,2012,"5",NA,NA,2.89166666666667,NA,NA,NA,NA,NA,NA,NA,0.636666666666667,NA,10.9916666666667,NA,NA,6.41666666666667,NA,NA,7.01666666666667
107006150,2010,"5",0.5,NA,NA,NA,4,5,0.82,5.37907e-05,0.0125,0.63,0.0125,NA,12,NA,0.01,7.5,NA,2.2,6.1
107006151,2006,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006151,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006151,2008,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006151,2009,"5",NA,NA,NA,NA,10.1571428571429,NA,NA,6.09477714285714e-05,0.0125,NA,NA,NA,NA,NA,NA,7.42857142857143,NA,1.81,9.37142857142857
107006153,2008,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006153,2009,"5",NA,NA,NA,NA,13,NA,NA,0.000776663833333333,0.05,NA,NA,NA,9.93333333333333,NA,NA,7.66666666666667,NA,7.22,12.2
107006153,2010,"5",NA,NA,NA,NA,12.5,17.5,2.9,8.15981e-05,0.03625,2.385,0.0125,NA,14.05,NA,NA,7.4,NA,3.55,3.35
107006154,2008,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006154,2009,"17",NA,NA,NA,NA,34,NA,NA,0.001099268,0.11,NA,NA,NA,13.3,NA,NA,7.9,NA,5.24,5.2
107006154,2010,"17",3,NA,NA,NA,86,72,6.05,0.001371755,0.15,5.4,0.0125,NA,NA,NA,0.08,7.9,NA,6.48,4.1
107006155,2008,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006155,2009,"18",NA,NA,NA,NA,37,NA,NA,0.00071311275,0.040625,NA,NA,NA,NA,NA,NA,7.925,NA,NA,10.75
107006155,2010,"18",5,NA,NA,NA,36,75,4.5,0.000211645,0.0125,4.2,0.0125,NA,11.3,NA,0.04,8,NA,1.67,9
107006155,2011,"18",NA,NA,NA,NA,NA,76,4.85,NA,NA,NA,NA,NA,10.6,NA,0.04,7.9,NA,1.29,11.8
107006156,2009,"5",NA,NA,NA,NA,98,NA,NA,0.000196882,0.0125,NA,NA,NA,NA,NA,NA,7.9,NA,5.69,11
107006157,2009,"16",NA,NA,NA,NA,32.6666666666667,NA,NA,NA,NA,NA,NA,NA,10.4333333333333,NA,NA,7.53333333333333,NA,8.56666666666667,7.5
107006159,2000,"16",NA,NA,NA,NA,NA,176.333333333333,NA,NA,NA,NA,NA,64.3333333333333,7.36666666666667,NA,NA,7.8,NA,NA,10.2
107006159,2001,"16",NA,NA,NA,NA,NA,69.3666666666667,NA,NA,NA,NA,NA,68,8.1,NA,NA,7.6,NA,NA,8.93333333333333
107006159,2002,"16",NA,NA,NA,NA,NA,44.75,NA,NA,NA,NA,NA,71.5,7.9,NA,NA,7.55,NA,NA,10.6
107006159,2003,"16",NA,NA,NA,NA,15,71.45,1.075,5.655375e-05,0.0125,0.0125,0.7,72,8.6,0.061,NA,7.35,0.0995,12.4,9.55
107006159,2004,"16",NA,NA,NA,NA,17,68.8,4.1,4.54866e-06,0.0125,0.005,3.7,104,14.1,0.018,NA,6.6,0.044,15.9,1.2
107006159,2005,"16",NA,NA,NA,NA,NA,67.6,NA,NA,NA,NA,NA,59.5,7.15,NA,NA,7.55,NA,NA,9.55
107006159,2007,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006159,2008,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006159,2010,"16",NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,6.83333333333333,NA,NA,7.43333333333333,NA,NA,7.9
107006160,2007,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006160,2010,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006162,2010,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006163,2010,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006164,2001,"5",NA,NA,NA,NA,NA,NA,NA,0.000140361,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA
107006164,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006164,2010,"5",NA,NA,NA,NA,NA,28.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.658,NA,NA,NA
107006164,2011,"5",NA,NA,NA,NA,NA,28.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.558,NA,NA,NA
107006165,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006165,2010,"5",NA,NA,NA,NA,NA,NA,NA,0.0001078455125,NA,NA,0.00375,NA,NA,NA,NA,7.63875,NA,NA,NA
107006165,2011,"5",NA,NA,NA,NA,NA,32.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.476,NA,NA,NA
107006170,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006170,2010,"5",NA,NA,NA,NA,NA,32.425,NA,0.0001154873125,NA,NA,NA,NA,NA,NA,NA,7.51375,NA,NA,NA
107006171,2001,"5",NA,NA,NA,NA,NA,36.85,NA,0.00012806665,NA,NA,NA,NA,NA,NA,NA,7.55,NA,NA,NA
107006171,2005,"5",NA,NA,NA,NA,NA,34.15,NA,9.57131e-05,NA,NA,NA,NA,NA,NA,NA,7.48,NA,NA,NA
107006171,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006171,2010,"5",NA,NA,NA,NA,NA,52.325,NA,NA,NA,NA,0.0065625,NA,NA,NA,NA,NA,NA,NA,NA
107006171,2011,"5",NA,NA,NA,NA,NA,46.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.515,NA,NA,NA
107006172,2010,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.302,NA,NA,NA
107006174,2004,"18",NA,NA,NA,NA,NA,139.4,NA,0.0001768205,NA,NA,NA,NA,NA,NA,NA,7.655,NA,NA,NA
107006174,2005,"18",NA,NA,NA,NA,NA,110.1,20.91,0.00503544133333333,0.173333333333333,NA,NA,NA,6.74333333333333,NA,NA,7.92333333333333,0.286666666666667,7.08333333333333,19.1
107006174,2006,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006174,2011,"18",NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,8.64,NA,NA,7.95,NA,NA,19.7
107006175,2011,"5",NA,NA,NA,NA,NA,20.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12,NA,NA,NA
107006178,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006178,2010,"5",NA,NA,NA,NA,NA,NA,NA,0.000245864125,NA,NA,NA,NA,NA,NA,NA,7.15125,NA,NA,NA
107006181,2002,"5",NA,NA,NA,NA,NA,16.15,NA,0.0001249545,NA,NA,NA,NA,NA,NA,NA,7.525,NA,NA,NA
107006181,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006181,2010,"5",NA,NA,NA,NA,NA,20.9625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006182,2002,"5",NA,NA,NA,NA,NA,23.15,NA,0.00010455195,NA,NA,NA,NA,NA,NA,NA,7.465,NA,NA,NA
107006182,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006182,2010,"5",NA,NA,NA,NA,NA,41.9125,NA,0.00043646575,NA,NA,NA,NA,NA,NA,NA,7.11125,NA,NA,NA
107006186,2003,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006186,2004,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006186,2005,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006186,2006,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006186,2007,"12",7.75,NA,NA,NA,NA,45.25,NA,NA,NA,NA,NA,69,7.525,NA,NA,7.75,NA,NA,8.4
107006186,2008,"12",6,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,78,8.8,NA,NA,7.4,NA,NA,10.1
